Date,GDP,UNEMP
1998-01-01,10938.786678620372,12.16667
1998-04-01,10735.059581263875,12.33333
1998-07-01,10079.567473269752,13.03333
1998-10-01,10467.282078541646,13.36667
1999-01-01,11064.115318271824,14.8
1999-04-01,10863.65296861,16.1
1999-07-01,10219.34472611185,17.03333
1999-10-01,9888.483161094997,18.03333
2000-01-01,10709.589782819401,18.5
2000-04-01,10910.730888280857,19.16667
2000-07-01,10337.00653689467,18.96667
2000-10-01,10369.381146408474,18.96667
2001-01-01,10829.767930430395,19.36667
2001-04-01,11056.841641085904,19.53333
2001-07-01,10568.692120372656,19.46667
2001-10-01,11090.972632201196,19.46667
2002-01-01,11229.14566740193,19.0
2002-04-01,11319.10447054186,18.93333
2002-07-01,11389.931349742148,18.76667
2002-10-01,11513.188740112158,18.6
2003-01-01,11846.88280650592,18.0
2003-04-01,11941.070474818984,17.33333
2003-07-01,11801.891294248668,17.5
2003-10-01,12079.566660175286,17.96667
2004-01-01,12410.968986855007,18.9
2004-04-01,12311.821533537535,18.8
2004-07-01,12720.20869785232,18.03333
2004-10-01,12778.174410652025,17.7
2005-01-01,12991.257756748073,17.13333
2005-04-01,13380.181765560363,16.53333
2005-07-01,13619.952959639975,16.06667
2005-10-01,13469.838138969464,15.7
2006-01-01,14026.613958800248,14.63333
2006-04-01,14570.566372882247,13.7
2006-07-01,14774.647101097811,13.06667
2006-10-01,14851.405139282291,12.36667
2007-01-01,15343.637694315707,11.43333
2007-04-01,15874.216672773713,11.33333
2007-07-01,16407.073086173492,11.43333
2007-10-01,16873.973847088397,10.66667
2008-01-01,16725.900995677122,10.3
2008-04-01,16875.592888013307,10.1
2008-07-01,17375.461382404843,9.066667
2008-10-01,17031.534687914114,8.9
2009-01-01,15750.741169347943,10.33333
2009-04-01,15850.130295267707,11.6
2009-07-01,16336.801508374809,12.66667
2009-10-01,16322.070790117912,13.8
2010-01-01,16945.118813149667,14.86667
2010-04-01,16957.30741665972,14.66667
2010-07-01,17403.129619440006,14.26667
2010-10-01,17330.22544389281,13.86667
2011-01-01,17361.664856922762,13.73333
2011-04-01,17441.722289890127,13.5
2011-07-01,17757.168168077027,13.4
2011-10-01,17835.182998941335,13.76667
2012-01-01,17786.043940674048,13.76667
2012-04-01,17789.581336929412,13.86667
2012-07-01,18056.157456176934,13.83333
2012-10-01,17883.008729024365,14.16667
2013-01-01,17836.58314382118,14.3
2013-04-01,17872.390700917025,14.3
2013-07-01,18188.275681466017,14.13333
2013-10-01,18113.041688442147,13.93333
2014-01-01,18301.30774855619,13.76667
2014-04-01,18345.85722073563,13.36667
2014-07-01,18670.60294161566,12.86667
2014-10-01,18640.98297880664,12.4
2015-01-01,19139.01381855529,12.2
2015-04-01,19263.62782810309,11.56667
2015-07-01,19635.73615113696,11.3
2015-10-01,19738.920905007388,10.83333
2016-01-01,19646.337284541707,10.33333
2016-04-01,19741.772280743102,9.833333
2016-07-01,19861.96467748343,9.466666
2016-10-01,20059.12834936701,8.966666
2017-01-01,20021.5720900735,8.6
2017-04-01,20362.34485822234,8.233334
2017-07-01,20426.435008138887,7.833333
2017-10-01,20763.11527193898,7.666667
2018-01-01,20786.20555424845,7.1
2018-04-01,21247.56899681102,6.7
2018-07-01,21368.303921468003,6.266667
2018-10-01,21479.229782507467,6.033333
2019-01-01,21549.87330116578,5.8
2019-04-01,21729.993260330208,5.666667
2019-07-01,21668.442063700833,5.733333
2019-10-01,21894.599671388147,5.7
2020-01-01,21255.329537601352,5.966667
2020-04-01,19798.305596542305,6.6
2020-07-01,21626.60462569265,7.033333
2020-10-01,21905.553621836625,7.0
2021-01-01,21797.63342869593,7.1
2021-04-01,22303.388387653053,6.933333
2021-07-01,22477.522586829953,6.7
2021-10-01,22765.047519525222,6.533333
2022-01-01,22184.671445153825,6.366667
2022-04-01,22325.28509447671,6.266667
2022-07-01,22531.422993234155,6.033333
2022-10-01,22812.18862770523,6.1
2023-01-01,22379.853633104172,6.033333
2023-04-01,22831.994796472998,5.9
2023-07-01,23126.242220568325,5.766667
2023-10-01,23387.564435636705,5.566667
2024-01-01,23073.882435557625,5.5
2024-04-01,23310.6369015408,5.433333
2024-07-01,23398.329174388335,5.266667
2024-10-01,23748.6535879201,5.2
2025-01-01,23259.407450932104,5.233333
2025-04-01,23433.059398782072,5.333333
2025-07-01,23601.389142387026,5.466667
2025-10-01,23991.205347850417,5.7
